#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163523.252;20180524-163524.000;45.06823;7.67651;3.0;303.9;316.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163523.753;20180524-163525.000;45.06824;7.67655;3.0;301.5;336.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163524.255;20180524-163525.000;45.06824;7.67658;3.0;301.5;322.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163524.736;20180524-163526.000;45.06824;7.67663;3.0;297.4;305.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163525.239;20180524-163526.000;45.06851;7.67682;3.0;297.4;311.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163525.741;20180524-163527.000;45.06882;7.67704;3.0;291.3;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163526.255;20180524-163527.000;45.06884;7.67705;3.0;291.3;322.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163526.755;20180524-163528.000;45.06884;7.67706;3.0;282.8;341.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163527.260;20180524-163528.000;45.06883;7.67707;3.0;282.8;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163527.740;20180524-163529.000;45.06883;7.67708;3.0;280.2;306.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163528.246;20180524-163529.000;45.06879;7.67716;3.0;280.2;312.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163528.744;20180524-163530.000;45.06879;7.67717;3.0;278.0;320.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
