#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180524-163615.818;20180524-163617.000;45.07884;7.67608;3.0;255.6;191.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163616.315;20180524-163617.000;45.07884;7.67612;3.0;255.6;23.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163616.816;20180524-163618.000;45.07883;7.67619;3.0;238.4;293.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163617.319;20180524-163618.000;45.07882;7.67624;3.0;238.4;16.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163617.836;20180524-163619.000;45.07882;7.67629;3.0;222.1;339.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163618.338;20180524-163619.000;45.07883;7.67635;3.0;222.1;22.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163618.837;20180524-163620.000;45.07884;7.6764;3.0;208.7;340.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163619.337;20180524-163620.000;45.07885;7.67645;3.0;208.7;87.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163619.823;20180524-163621.000;45.07886;7.6765;3.0;202.6;248.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163620.320;20180524-163621.000;45.07888;7.67654;3.0;202.6;16.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163620.841;20180524-163622.000;45.07891;7.67658;3.0;208.6;288.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163621.342;20180524-163622.000;45.07856;7.67764;3.0;208.6;332.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163621.837;20180524-163623.000;45.07855;7.67768;3.0;214.5;286.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163622.343;20180524-163623.000;45.07802;7.67926;3.0;214.5;184.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163622.834;20180524-163624.000;45.07796;7.67944;3.0;216.7;198.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163623.327;20180524-163624.000;45.07753;7.68073;3.0;216.7;197.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163623.848;20180524-163625.000;45.07729;7.68141;3.0;219.4;210.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163624.345;20180524-163625.000;45.07699;7.68226;3.0;219.4;210.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163624.827;20180524-163626.000;45.07714;7.68236;3.0;211.5;210.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163625.331;20180524-163626.000;45.07716;7.68237;3.0;211.5;201.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163625.831;20180524-163627.000;45.07716;7.68238;3.0;205.8;217.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163626.332;20180524-163627.000;45.0772;7.6824;3.0;205.8;110.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163626.831;20180524-163628.000;45.07712;7.68264;3.0;205.8;197.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163627.331;20180524-163628.000;45.077;7.68302;3.0;205.8;145.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163627.835;20180524-163629.000;45.07698;7.6831;3.0;208.1;204.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163628.336;20180524-163629.000;45.07689;7.68332;3.0;208.1;127.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163628.840;20180524-163630.000;45.07678;7.68363;3.0;205.3;215.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163629.366;20180524-163630.000;45.0767;7.68388;3.0;205.3;167.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163629.836;20180524-163631.000;45.07635;7.68483;3.0;206.6;220.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163630.338;20180524-163631.000;45.07615;7.68541;3.0;206.6;141.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163630.837;20180524-163632.000;45.07584;7.68632;3.0;203.4;196.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163631.338;20180524-163632.000;45.07567;7.68621;3.0;203.4;222.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163631.856;20180524-163633.000;45.07437;7.68535;3.0;197.4;178.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163632.357;20180524-163633.000;45.07419;7.68595;3.0;197.4;97.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163632.857;20180524-163634.000;45.07407;7.6863;3.0;195.6;212.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163633.360;20180524-163634.000;45.074;7.68649;3.0;195.6;157.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163633.860;20180524-163635.000;45.07399;7.68653;3.0;194.1;201.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163634.361;20180524-163635.000;45.07396;7.68652;3.0;194.1;26.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163634.859;20180524-163636.000;45.07393;7.68653;3.0;195.9;204.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163635.358;20180524-163636.000;45.0739;7.68656;3.0;195.9;93.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163635.846;20180524-163637.000;45.07391;7.68662;3.0;193.2;210.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163636.342;20180524-163637.000;45.07392;7.68664;3.0;193.2;158.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163636.849;20180524-163638.000;45.07394;7.68667;3.0;188.3;227.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163637.349;20180524-163638.000;45.07393;7.6867;3.0;188.3;284.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163637.847;20180524-163639.000;45.07388;7.68686;3.0;185.2;290.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163638.350;20180524-163639.000;45.07387;7.68689;3.0;185.2;331.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163638.854;20180524-163640.000;45.07383;7.68689;3.0;181.4;192.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163639.371;20180524-163640.000;45.07381;7.68692;3.0;181.4;159.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163639.870;20180524-163641.000;45.07379;7.68693;3.0;182.8;154.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163640.369;20180524-163641.000;45.0737;7.68687;3.0;182.8;121.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163640.872;20180524-163642.000;45.07368;7.68691;3.0;181.4;211.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163641.374;20180524-163642.000;45.07365;7.68693;3.0;181.4;161.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163641.857;20180524-163643.000;45.07364;7.68696;3.0;181.4;272.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163642.374;20180524-163643.000;45.07362;7.68703;3.0;181.4;302.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163642.869;20180524-163644.000;45.0736;7.68708;3.0;185.2;232.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163643.376;20180524-163644.000;45.07358;7.68713;3.0;185.2;301.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163643.841;20180524-163645.000;45.07356;7.68714;3.0;189.8;21.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163644.345;20180524-163645.000;45.07355;7.68714;3.0;189.8;324.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163644.847;20180524-163646.000;45.07354;7.68713;3.0;203.5;188.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163645.361;20180524-163646.000;45.07353;7.68713;3.0;203.5;60.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163645.862;20180524-163647.000;45.07352;7.68713;3.0;212.7;195.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163646.364;20180524-163647.000;45.07348;7.68718;3.0;212.7;183.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163646.881;20180524-163648.000;45.07344;7.6872;3.0;217.6;195.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163647.383;20180524-163648.000;45.07341;7.68721;3.0;217.6;111.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163647.883;20180524-163649.000;45.07339;7.68723;3.0;224.2;209.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163648.383;20180524-163649.000;45.07328;7.68714;3.0;224.2;110.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163648.864;20180524-163650.000;45.07325;7.68722;3.0;226.7;210.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163649.368;20180524-163650.000;45.07318;7.68744;3.0;226.7;101.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163649.873;20180524-163651.000;45.07312;7.68765;4.0;234.1;206.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163650.375;20180524-163651.000;45.07308;7.68777;4.0;234.1;147.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163650.871;20180524-163652.000;45.07305;7.68789;3.0;235.4;180.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163651.371;20180524-163652.000;45.07303;7.68797;3.0;235.4;171.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163651.871;20180524-163653.000;45.07303;7.68805;3.0;234.6;173.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163652.373;20180524-163653.000;45.07302;7.68807;3.0;234.6;128.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163652.872;20180524-163654.000;45.07301;7.6881;4.0;229.8;171.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163653.372;20180524-163654.000;45.07299;7.68814;4.0;229.8;153.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163653.878;20180524-163655.000;45.07294;7.6882;4.0;233.2;177.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163654.377;20180524-163655.000;45.07289;7.68825;4.0;233.2;163.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163654.896;20180524-163656.000;45.07284;7.68828;4.0;241.7;173.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163655.377;20180524-163656.000;45.07278;7.68829;4.0;241.7;162.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163655.877;20180524-163657.000;45.0727;7.6883;4.0;245.3;172.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163656.378;20180524-163657.000;45.07269;7.68829;4.0;245.3;145.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163656.878;20180524-163658.000;45.07268;7.68829;4.0;247.4;166.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163657.380;20180524-163658.000;45.07266;7.68828;4.0;247.4;180.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163657.882;20180524-163659.000;45.07265;7.68827;3.0;232.2;185.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163658.402;20180524-163659.000;45.07264;7.68826;3.0;232.2;192.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163658.897;20180524-163700.000;45.07263;7.68825;3.0;221.7;246.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163659.399;20180524-163700.000;45.07261;7.68821;3.0;221.7;220.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163659.901;20180524-163701.000;45.0726;7.68816;3.0;215.5;243.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163700.400;20180524-163701.000;45.07256;7.68817;3.0;215.5;256.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163700.899;20180524-163702.000;45.07249;7.68818;3.0;220.1;262.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163701.403;20180524-163702.000;45.07242;7.68817;3.0;220.1;267.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163701.906;20180524-163703.000;45.07238;7.68814;4.0;220.1;240.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163702.387;20180524-163703.000;45.07234;7.6881;4.0;220.1;273.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163702.892;20180524-163704.000;45.07227;7.68793;4.0;233.0;259.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163703.394;20180524-163704.000;45.07224;7.68787;4.0;233.0;285.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163703.907;20180524-163705.000;45.07223;7.68782;4.0;246.4;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163704.410;20180524-163705.000;45.07224;7.68777;4.0;246.4;281.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163704.891;20180524-163706.000;45.07215;7.68777;3.0;262.1;286.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163705.393;20180524-163706.000;45.0721;7.68778;3.0;262.1;297.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163705.893;20180524-163707.000;45.07205;7.6878;3.0;267.6;276.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163706.395;20180524-163707.000;45.07197;7.68786;3.0;267.6;293.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163706.894;20180524-163708.000;45.07196;7.68787;3.0;272.6;279.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163707.397;20180524-163708.000;45.07191;7.68784;3.0;272.6;302.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163707.897;20180524-163709.000;45.07184;7.68779;3.0;270.5;271.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163708.397;20180524-163709.000;45.07178;7.68773;3.0;270.5;257.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163708.900;20180524-163710.000;45.07171;7.68768;3.0;267.9;236.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163709.399;20180524-163710.000;45.0717;7.68766;3.0;267.9;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163709.900;20180524-163711.000;45.07169;7.68762;3.0;270.7;204.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163710.400;20180524-163711.000;45.07169;7.68758;3.0;270.7;203.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163710.902;20180524-163712.000;45.0717;7.68753;3.0;266.1;182.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163711.420;20180524-163712.000;45.07165;7.68755;3.0;266.1;199.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163711.903;20180524-163713.000;45.07163;7.68755;3.0;260.1;170.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163712.406;20180524-163713.000;45.07158;7.68757;3.0;260.1;177.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163712.901;20180524-163714.000;45.07154;7.68758;3.0;241.1;191.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163713.407;20180524-163714.000;45.07141;7.6877;3.0;241.1;169.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163713.923;20180524-163715.000;45.07139;7.68766;3.0;215.0;146.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163714.425;20180524-163715.000;45.07138;7.68764;3.0;215.0;258.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163714.911;20180524-163716.000;45.07133;7.68757;3.0;197.8;168.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163715.430;20180524-163716.000;45.07127;7.68751;3.0;197.8;134.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163715.911;20180524-163717.000;45.07113;7.6874;3.0;186.9;228.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163716.414;20180524-163717.000;45.0711;7.68747;3.0;186.9;182.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163716.930;20180524-163718.000;45.071;7.68774;3.0;190.4;141.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163717.434;20180524-163718.000;45.07083;7.6882;3.0;190.4;217.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163717.934;20180524-163719.000;45.07067;7.68865;3.0;188.2;253.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163718.432;20180524-163719.000;45.07061;7.68881;3.0;188.2;235.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163718.934;20180524-163720.000;45.0704;7.68866;3.0;180.6;191.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163719.421;20180524-163720.000;45.06997;7.68835;3.0;180.6;156.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163719.929;20180524-163721.000;45.06992;7.68854;4.0;170.7;197.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163720.434;20180524-163721.000;45.06948;7.68966;4.0;170.7;237.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163720.937;20180524-163722.000;45.06901;7.6908;4.0;158.0;50.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163721.437;20180524-163722.000;45.0686;7.69181;4.0;158.0;314.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163721.920;20180524-163723.000;45.0684;7.69237;4.0;145.5;24.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163722.421;20180524-163723.000;45.06831;7.69262;4.0;145.5;0.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163722.917;20180524-163724.000;45.06818;7.69295;5.0;133.2;344.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163723.440;20180524-163724.000;45.06841;7.69312;5.0;133.2;89.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163723.939;20180524-163725.000;45.0685;7.69319;5.0;119.5;131.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163724.440;20180524-163725.000;45.06857;7.69324;5.0;119.5;164.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163724.940;20180524-163726.000;45.06864;7.69329;5.0;107.1;7.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
